time,temp,salt,OXY_oxy
2016-01-01 24:00:00,    3.473726,    0.091519,  223.923150
2016-01-02 24:00:00,    3.584426,    0.088975,  215.262841
2016-01-03 24:00:00,    6.430300,    0.012260,   31.275084
2016-01-04 24:00:00,    6.186036,    0.009742,   34.266425
2016-01-05 24:00:00,    5.765532,    0.006068,   27.293628
2016-01-06 24:00:00,    5.680438,    0.006014,   34.621629
2016-01-07 24:00:00,    5.564996,    0.005989,   34.548515
2016-01-08 24:00:00,    5.562801,    0.005967,   34.544894
2016-01-09 24:00:00,    5.206960,    0.003896,   32.698073
2016-01-10 24:00:00,    4.683709,    0.003169,   33.937775
2016-01-11 24:00:00,    4.453007,    0.002823,   38.255775
2016-01-12 24:00:00,    4.334552,    0.002758,   45.955586
2016-01-13 24:00:00,    4.334552,    0.002758,   45.950453
2016-01-14 24:00:00,    4.334552,    0.002758,   45.945329
2016-01-15 24:00:00,    4.316851,    0.002748,   53.313335
2016-01-16 24:00:00,    4.316851,    0.002748,   53.308081
2016-01-17 24:00:00,    4.316852,    0.002748,   53.302993
2016-01-18 24:00:00,    4.316852,    0.002748,   53.298310
2016-01-19 24:00:00,    4.316852,    0.002748,   53.294010
2016-01-20 24:00:00,    4.362988,    0.000606,   22.385555
2016-01-21 24:00:00,    4.362988,    0.000606,   22.384857
2016-01-22 24:00:00,    4.362988,    0.000606,   22.384295
2016-01-23 24:00:00,    4.362988,    0.000606,   22.383738
2016-01-24 24:00:00,    3.814887,    0.000484,   99.296411
2016-01-25 24:00:00,    4.121441,    0.000474,  102.908717
2016-01-26 24:00:00,    4.148961,    0.000452,  103.389477
2016-01-27 24:00:00,    4.125005,    0.000451,  109.572769
2016-01-28 24:00:00,    4.132213,    0.000451,  109.563217
2016-01-29 24:00:00,    4.133159,    0.000451,  109.550964
2016-01-30 24:00:00,    4.133626,    0.000451,  109.536282
2016-01-31 24:00:00,    5.399546,    0.000316,   90.059792
2016-02-01 24:00:00,    5.399546,    0.000316,   90.059499
2016-02-02 24:00:00,    5.399546,    0.000316,   90.058969
2016-02-03 24:00:00,    5.399546,    0.000316,   90.059300
2016-02-04 24:00:00,    6.209606,    0.000228,   84.444637
2016-02-05 24:00:00,    6.006547,    0.000227,   88.166302
2016-02-06 24:00:00,    5.443650,    0.000162,   64.224504
2016-02-07 24:00:00,    5.443651,    0.000162,   64.222827
2016-02-08 24:00:00,    5.417451,    0.000161,   63.718285
2016-02-09 24:00:00,    3.185321,    0.000082,   37.906805
2016-02-10 24:00:00,    3.828937,    0.000068,   31.709628
2016-02-11 24:00:00,    3.842842,    0.000068,   31.706718
2016-02-12 24:00:00,    4.033177,    0.000066,   31.511289
2016-02-13 24:00:00,    4.092910,    0.000066,   31.354940
2016-02-14 24:00:00,    4.142439,    0.000065,   30.671668
2016-02-15 24:00:00,    4.163572,    0.000065,   30.113549
2016-02-16 24:00:00,    5.517649,    0.000054,   34.158417
2016-02-17 24:00:00,    5.517650,    0.000054,   34.158389
2016-02-18 24:00:00,    4.913915,    0.000049,   80.328514
2016-02-19 24:00:00,    4.940823,    0.000052,   68.557069
2016-02-20 24:00:00,    5.877242,    0.000046,   49.866656
2016-02-21 24:00:00,    6.034037,    0.000054,   56.865832
2016-02-22 24:00:00,    6.131157,    0.000054,   65.053104
2016-02-23 24:00:00,    6.249913,    0.000062,   71.954439
2016-02-24 24:00:00,    6.246872,    0.000070,   72.229792
2016-02-25 24:00:00,    5.707495,    0.000068,   62.646799
2016-02-26 24:00:00,    5.581222,    0.000075,   64.727447
2016-02-27 24:00:00,    4.241765,    0.000056,   43.830894
2016-02-28 24:00:00,    4.173596,    0.000046,   32.956547
2016-02-29 24:00:00,    5.607432,    0.000035,   22.924640
2016-03-01 24:00:00,    5.578026,    0.000043,   26.753118
2016-03-02 24:00:00,    5.876423,    0.000047,   27.446277
2016-03-03 24:00:00,    5.477516,    0.000049,   27.807328
2016-03-04 24:00:00,    4.255270,    0.000028,   15.123730
2016-03-05 24:00:00,    4.045055,    0.000030,   16.061780
2016-03-06 24:00:00,    3.531749,    0.000028,   14.804459
2016-03-07 24:00:00,    3.622213,    0.000038,   22.672434
2016-03-08 24:00:00,    3.934645,    0.000048,   27.766066
2016-03-09 24:00:00,    3.696630,    0.000054,   30.372001
2016-03-10 24:00:00,    3.693519,    0.000059,   38.536439
2016-03-11 24:00:00,    3.750612,    0.000059,   38.533442
2016-03-12 24:00:00,    3.739602,    0.000067,   46.548367
2016-03-13 24:00:00,    3.742943,    0.000072,   54.466901
2016-03-14 24:00:00,    3.753001,    0.000073,   62.722834
2016-03-15 24:00:00,    3.809248,    0.000073,   62.660902
2016-03-16 24:00:00,    3.785895,    0.000083,   55.389312
2016-03-17 24:00:00,    5.202351,    0.000082,   52.821155
2016-03-18 24:00:00,    6.080427,    0.000084,   52.895302
2016-03-19 24:00:00,    6.778200,    0.000089,   54.836435
2016-03-20 24:00:00,    6.970875,    0.000095,   62.054335
2016-03-21 24:00:00,    7.152852,    0.000102,   66.359291
2016-03-22 24:00:00,    7.152852,    0.000102,   66.358783
