DateTime,temp
2016-06-13 00:00,14.42870483
2016-06-14 00:00,15.52996216
2016-06-15 00:00,16.05376587
2016-06-16 00:00,14.55196533
2016-06-17 00:00,12.2517334
2016-06-18 00:00,11.59411011
2016-06-19 00:00,11.54165039
2016-06-20 00:00,11.93364868
2016-06-21 00:00,13.14486084
2016-06-22 00:00,11.8467041
2016-06-23 00:00,9.607202148
2016-06-24 00:00,10.10357056
2016-06-25 00:00,10.14785156
2016-06-26 00:00,11.00548706
2016-06-27 00:00,11.48226318
2016-06-28 00:00,14.28817139
2016-06-29 00:00,15.4182373
2016-06-30 00:00,13.67739258
2016-07-01 00:00,12.09075317
2016-07-02 00:00,12.9777771
2016-07-03 00:00,12.01009521
2016-07-04 00:00,12.512323
2016-07-05 00:00,11.99776611
2016-07-06 00:00,13.3635498
2016-07-07 00:00,13.52153931
2016-07-08 00:00,13.42592773
2016-07-09 00:00,13.16536865
2016-07-10 00:00,13.35198364
2016-07-11 00:00,12.6635376
2016-07-12 00:00,12.93551025
2016-07-13 00:00,12.42467651
2016-07-14 00:00,12.89074097
2016-07-15 00:00,13.48824463
2016-07-16 00:00,13.64928589
2016-07-17 00:00,14.28768311
2016-07-18 00:00,14.90737305
2016-07-19 00:00,13.61031494
2016-07-20 00:00,15.21639404
2016-07-21 00:00,16.84224854
2016-07-22 00:00,16.79723511
2016-07-23 00:00,17.23543701
2016-07-24 00:00,18.27300415
2016-07-25 00:00,18.16228638
2016-07-26 00:00,18.72866211
2016-07-27 00:00,16.55999146
2016-07-28 00:00,15.71428833
2016-07-29 00:00,18.01903687
2016-07-30 00:00,19.53954468
2016-07-31 00:00,19.40661011
2016-08-01 00:00,18.25643311
2016-08-02 00:00,16.04223022
2016-08-03 00:00,17.26955566
2016-08-04 00:00,15.51049194
2016-08-05 00:00,17.30263672
2016-08-06 00:00,17.48595581
2016-08-07 00:00,16.07268677
2016-08-08 00:00,12.76433716
2016-08-09 00:00,13.67748413
2016-08-10 00:00,13.88329468
2016-08-11 00:00,14.49758301
2016-08-12 00:00,14.76439819
2016-08-13 00:00,14.67797241
2016-08-14 00:00,15.89876709
2016-08-15 00:00,15.26439819
2016-08-16 00:00,15.6831604
2016-08-17 00:00,17.43639526
2016-08-18 00:00,17.62044678
2016-08-19 00:00,16.78838501
2016-08-20 00:00,14.63637695
2016-08-21 00:00,13.41433105
2016-08-22 00:00,13.49395142
2016-08-23 00:00,15.27144775
2016-08-24 00:00,15.20980225
2016-08-25 00:00,15.0251709
2016-08-26 00:00,15.19967041
2016-08-27 00:00,12.52770386
2016-08-28 00:00,10.29076538
2016-08-29 00:00,11.54485474
2016-08-30 00:00,13.5826355
2016-08-31 00:00,14.7645813
2016-09-01 00:00,14.38790283
2016-09-02 00:00,13.09707031
