time,flow,PHS_frp,NIT_nit
2016-01-01 00:00,0.333,0.716,138.1454
2016-01-02 00:00,0.483,0.713905926,138.0781748
2016-01-03 00:00,0.728,0.711811852,138.0109496
2016-01-04 00:00,0.992,0.709717778,137.9437244
2016-01-05 00:00,1.421,0.707623704,137.8764993
2016-01-06 00:00,0.905,0.70552963,137.8092741
2016-01-07 00:00,1.085,0.703435556,137.7420489
2016-01-08 00:00,0.568,0.701341481,137.6748237
2016-01-09 00:00,0.744,0.699247407,137.6075985
2016-01-10 00:00,0.742,0.697153333,137.5403733
2016-01-11 00:00,0.552,0.695059259,137.4731481
2016-01-12 00:00,0.867,0.692965185,137.405923
2016-01-13 00:00,0.487,0.690871111,137.3386978
2016-01-14 00:00,0.4,0.688777037,137.2714726
2016-01-15 00:00,0.344,0.686682963,137.2042474
2016-01-16 00:00,0.314,0.684588889,137.1370222
2016-01-17 00:00,0.296,0.682494815,137.069797
2016-01-18 00:00,0.323,0.680400741,137.0025719
2016-01-19 00:00,0.327,0.678306667,136.9353467
2016-01-20 00:00,0.315,0.676212593,136.8681215
2016-01-21 00:00,0.319,0.674118519,136.8008963
2016-01-22 00:00,0.972,0.672024444,136.7336711
2016-01-23 00:00,0.419,0.66993037,136.6664459
2016-01-24 00:00,0.533,0.667836296,136.5992207
2016-01-25 00:00,0.372,0.665742222,136.5319956
2016-01-26 00:00,1.152,0.663648148,136.4647704
2016-01-27 00:00,0.942,0.661554074,136.3975452
2016-01-28 00:00,0.711,0.65946,136.33032
2016-01-29 00:00,0.813,0.657365926,136.2630948
2016-01-30 00:00,0.563,0.655271852,136.1958696
2016-01-31 00:00,0.628,0.653177778,136.1286444
2016-02-01 00:00,1.347,0.651083704,136.0614193
2016-02-02 00:00,0.652,0.64898963,135.9941941
2016-02-03 00:00,0.453,0.646895556,135.9269689
2016-02-04 00:00,0.402,0.644801481,135.8597437
2016-02-05 00:00,0.4,0.642707407,135.7925185
2016-02-06 00:00,0.407,0.640613333,135.7252933
2016-02-07 00:00,0.873,0.638519259,135.6580681
2016-02-08 00:00,0.533,0.636425185,135.590843
2016-02-09 00:00,0.42,0.634331111,135.5236178
2016-02-10 00:00,0.36,0.632237037,135.4563926
2016-02-11 00:00,0.339,0.630142963,135.3891674
2016-02-12 00:00,0.323,0.628048889,135.3219422
2016-02-13 00:00,0.444,0.625954815,135.254717
2016-02-14 00:00,0.34,0.623860741,135.1874919
2016-02-15 00:00,0.298,0.621766667,135.1202667
2016-02-16 00:00,0.487,0.619672593,135.0530415
2016-02-17 00:00,0.516,0.617578519,134.9858163
2016-02-18 00:00,0.372,0.615484444,134.9185911
2016-02-19 00:00,0.434,0.61339037,134.8513659
2016-02-20 00:00,0.383,0.611296296,134.7841407
2016-02-21 00:00,0.328,0.609202222,134.7169156
2016-02-22 00:00,0.29,0.607108148,134.6496904
2016-02-23 00:00,0.267,0.605014074,134.5824652
2016-02-24 00:00,0.254,0.60292,134.51524
2016-02-25 00:00,0.244,0.600825926,134.4480148
2016-02-26 00:00,0.234,0.598731852,134.3807896
2016-02-27 00:00,0.222,0.596637778,134.3135644
2016-02-28 00:00,0.215,0.594543704,134.2463393
2016-02-29 00:00,0.305,0.59244963,134.1791141
2016-03-01 00:00,0.431,0.590355556,134.1118889
2016-03-02 00:00,0.285,0.588261481,134.0446637
2016-03-03 00:00,0.266,0.586167407,133.9774385
2016-03-04 00:00,0.286,0.584073333,133.9102133
2016-03-05 00:00,0.25,0.581979259,133.8429881
2016-03-06 00:00,0.241,0.579885185,133.775763
2016-03-07 00:00,0.225,0.577791111,133.7085378
2016-03-08 00:00,0.224,0.575697037,133.6413126
2016-03-09 00:00,0.221,0.573602963,133.5740874
2016-03-10 00:00,0.21,0.571508889,133.5068622
2016-03-11 00:00,0.202,0.569414815,133.439637
2016-03-12 00:00,0.197,0.567320741,133.3724119
2016-03-13 00:00,0.19,0.565226667,133.3051867
2016-03-14 00:00,0.186,0.563132593,133.2379615
2016-03-15 00:00,0.181,0.561038519,133.1707363
2016-03-16 00:00,0.177,0.558944444,133.1035111
2016-03-17 00:00,0.176,0.55685037,133.0362859
2016-03-18 00:00,0.171,0.554756296,132.9690607
2016-03-19 00:00,0.167,0.552662222,132.9018356
2016-03-20 00:00,0.165,0.550568148,132.8346104
2016-03-21 00:00,0.162,0.548474074,132.7673852
2016-03-22 00:00,0.159,0.54638,132.70016
2016-03-23 00:00,0.157,0.544285926,132.6329348
2016-03-24 00:00,0.157,0.542191852,132.5657096
2016-03-25 00:00,0.157,0.540097778,132.4984844
2016-03-26 00:00,0.199,0.538003704,132.4312593
2016-03-27 00:00,0.179,0.53590963,132.3640341
2016-03-28 00:00,0.166,0.533815556,132.2968089
2016-03-29 00:00,0.157,0.531721481,132.2295837
2016-03-30 00:00,0.15,0.529627407,132.1623585
2016-03-31 00:00,0.147,0.527533333,132.0951333
2016-04-01 00:00,0.158,0.525439259,132.0279081
2016-04-02 00:00,0.159,0.523345185,131.960683
2016-04-03 00:00,0.176,0.521251111,131.8934578
2016-04-04 00:00,0.507,0.519157037,131.8262326
2016-04-05 00:00,0.367,0.517062963,131.7590074
2016-04-06 00:00,0.249,0.514968889,131.6917822
2016-04-07 00:00,0.203,0.512874815,131.624557
