time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain
2016-03-01 00:00,5.667749023,80.16804504,300.9108887,69.99794006,9.049836159,0.00307
2016-03-02 00:00,6.860131836,36.36855698,311.1043091,78.05602264,7.26207304,0.0052
2016-03-03 00:00,4.340264893,72.8908844,297.1929016,81.21549225,6.10014677,0.00531
2016-03-04 00:00,3.431756592,41.80871201,276.6999512,82.84426117,8.114334106,0.0252
2016-03-05 00:00,3.631799316,101.3893051,276.1080933,78.52261353,4.742203236,0.00822
2016-03-06 00:00,2.81206665,23.22686577,290.40271,89.26789093,10.21498775,0.01205
2016-03-07 00:00,5.706262207,146.0219116,280.1707153,74.30841064,6.489450932,0.00051
2016-03-08 00:00,5.695855713,28.75467491,304.1687927,83.11204529,6.624054909,0.00243
2016-03-09 00:00,2.744470215,56.2808342,287.6568604,86.06303406,7.259897709,0.00365
2016-03-10 00:00,3.513726807,115.7646332,283.4515076,77.46663666,5.234876156,0.00018
2016-03-11 00:00,2.400445557,84.37462616,284.9388733,81.13516235,1.166722178,0.00008
2016-03-12 00:00,2.061853027,144.1587219,257.5050354,75.32514191,3.567775011,0.00016
2016-03-13 00:00,1.807122803,115.431572,257.37146,69.90274048,5.394448757,0.00017
2016-03-14 00:00,1.785668945,113.17202,272.0568542,70.49055481,3.089469671,0.00002
2016-03-15 00:00,1.025994873,55.86086655,279.9069824,88.94842529,1.614434958,0.00428
2016-03-16 00:00,9.079278564,112.5367279,322.7128906,90.18778992,4.981143951,0.00131
2016-03-17 00:00,11.16781006,90.01449585,336.8531799,86.52850342,6.439962387,0.00368
2016-03-18 00:00,10.83574829,123.5817642,327.2004395,86.79608917,5.614055634,0.00275
2016-03-19 00:00,11.44939575,98.65033722,338.6251221,85.97422028,5.972816944,0.00206
2016-03-20 00:00,10.53954468,157.1466064,328.2225952,77.96514893,5.09992218,0.00027
2016-03-21 00:00,8.86348877,141.8834991,308.559082,66.92661285,7.345970631,0.00105
2016-03-22 00:00,8.060540771,109.4977188,317.1993103,71.57822418,2.34169817,0.00006
2016-03-23 00:00,8.959985352,91.17570496,322.6449585,86.93700409,4.469116211,0.0007
