time,RelHum,Rain,LongWave,ShortWave,WindSpeed,AirTemp
2016-03-02 00:00,78.05602264,5.2,311.1043091,36.36855698,7.26207304,6.860131836
2016-03-03 00:00,81.21549225,5.31,297.1929016,72.8908844,6.10014677,4.340264893
2016-03-04 00:00,82.84426117,25.2,276.6999512,41.80871201,8.114334106,3.431756592
2016-03-05 00:00,78.52261353,8.22,276.1080933,101.3893051,4.742203236,3.631799316
2016-03-06 00:00,89.26789093,12.05,290.40271,23.22686577,10.21498775,2.81206665
2016-03-07 00:00,74.30841064,0.51,280.1707153,146.0219116,6.489450932,5.706262207
2016-03-08 00:00,83.11204529,2.43,304.1687927,28.75467491,6.624054909,5.695855713
2016-03-09 00:00,86.06303406,3.65,287.6568604,56.2808342,7.259897709,2.744470215
2016-03-10 00:00,77.46663666,0.18,283.4515076,115.7646332,5.234876156,3.513726807
2016-03-11 00:00,81.13516235,0.08,284.9388733,84.37462616,1.166722178,2.400445557
2016-03-12 00:00,75.32514191,0.16,257.5050354,144.1587219,3.567775011,2.061853027
2016-03-13 00:00,69.90274048,0.17,257.37146,115.431572,5.394448757,1.807122803
2016-03-14 00:00,70.49055481,0.02,272.0568542,113.17202,3.089469671,1.785668945
2016-03-15 00:00,88.94842529,4.28,279.9069824,55.86086655,1.614434958,1.025994873
2016-03-16 00:00,90.18778992,1.31,322.7128906,112.5367279,4.981143951,9.079278564
2016-03-17 00:00,86.52850342,3.68,336.8531799,90.01449585,6.439962387,11.16781006
2016-03-18 00:00,86.79608917,2.75,327.2004395,123.5817642,5.614055634,10.83574829
2016-03-19 00:00,85.97422028,2.06,338.6251221,98.65033722,5.972816944,11.44939575
2016-03-20 00:00,77.96514893,0.27,328.2225952,157.1466064,5.09992218,10.53954468
2016-03-21 00:00,66.92661285,1.05,308.559082,141.8834991,7.345970631,8.86348877
2016-03-22 00:00,71.57822418,0.06,317.1993103,109.4977188,2.34169817,8.060540771
2016-03-23 00:00,86.93700409,0.7,322.6449585,91.17570496,4.469116211,8.959985352
2016-03-24 00:00,88.90956879,1.84,331.7163086,105.3716736,3.101380825,10.11812744
2016-03-25 00:00,75.27487183,3.42,312.6374817,147.655777,5.287734509,8.531945801
2016-03-26 00:00,84.95039368,12.46,314.0027771,109.3135147,4.188149452,7.60894165
2016-03-27 00:00,81.40026855,1.01,292.1808777,144.8268738,1.888789654,6.767602539
2016-03-28 00:00,80.74508667,2.69,297.8319092,119.1783676,2.395879269,6.522393799
2016-03-29 00:00,89.85572815,5.04,304.7609253,107.7039185,2.738850355,5.544152832
2016-03-30 00:00,92.34381104,5.68,309.1645813,85.21747589,3.558701515,5.994592285
2016-03-31 00:00,92.00878906,20.25,297.3985596,62.17769623,6.729606152,3.936669922
2016-04-01 00:00,84.2195816,9.16,293.553833,65.66423798,6.472187042,3.582971191
2016-04-02 00:00,60.02240372,0.02,284.6490173,107.8523102,5.800890446,3.35100708
2016-04-03 00:00,68.67476654,0.23,278.3690186,148.3123169,3.219248772,3.122033691
2016-04-04 00:00,68.78913116,0.35,264.6985779,140.3053284,2.144481897,3.46819458
2016-04-05 00:00,73.00410461,0.02,261.2365723,143.3519897,1.218013644,3.126031494
2016-04-06 00:00,76.96808624,0.26,262.6760254,143.7327118,3.167399168,2.982141113
2016-04-07 00:00,74.75655365,5.5,290.4833984,122.6560593,3.276968956,3.683312988
2016-04-08 00:00,71.67218781,0.2,282.2160645,114.7578354,3.738949537,2.610772705
2016-04-09 00:00,84.82364655,6.27,282.4515686,71.61217499,5.834181786,2.125787354
2016-04-10 00:00,90.77223969,6.3,298.0407104,90.10890961,3.808577061,4.132104492
2016-04-11 00:00,89.47732544,3.1,304.9501953,116.3512726,1.127560496,5.456903076
2016-04-12 00:00,86.39129639,1.2,307.1371155,129.5570679,0.407283902,6.134179688
2016-04-13 00:00,87.81771088,3.19,305.7145081,104.5142059,0.998306215,5.923364258
2016-04-14 00:00,84.73480988,0.76,308.1635437,113.6033096,2.740557671,6.153253174
2016-04-15 00:00,85.49730682,0.55,310.9103394,100.7912674,3.127034903,6.544213867
2016-04-16 00:00,87.6700592,0.62,317.0498962,117.909874,1.859594464,7.687158203
2016-04-17 00:00,85.31962585,0.08,314.6920776,138.0363617,0.566680491,9.020196533
2016-04-18 00:00,75.33394623,0.06,319.2228394,172.2861023,1.413268924,10.61156616
2016-04-19 00:00,84.35021973,0.26,308.3822937,171.0993958,1.559639454,8.873254395
2016-04-20 00:00,76.28672791,0,322.8712463,240.9580688,1.91814816,10.60692749
2016-04-21 00:00,82.94945526,0.18,332.971405,172.699295,4.847312927,11.04796753
2016-04-22 00:00,75.3816452,0,330.646759,170.8703766,4.833866119,11.22628174
