time,flow
2019-01-01 00:00,0.592
2019-01-02 00:00,0.545
2019-01-03 00:00,0.515
2019-01-04 00:00,0.484
2019-01-05 00:00,0.471
2019-01-06 00:00,0.467
2019-01-07 00:00,0.514
2019-01-08 00:00,0.458
2019-01-09 00:00,0.492
2019-01-10 00:00,0.415
2019-01-11 00:00,0.411
2019-01-12 00:00,0.42
2019-01-13 00:00,0.372
2019-01-14 00:00,0.412
2019-01-15 00:00,0.514
2019-01-16 00:00,0.548
2019-01-17 00:00,0.431
2019-01-18 00:00,0.395
2019-01-19 00:00,0.376
2019-01-20 00:00,0.356
2019-01-21 00:00,0.371
2019-01-22 00:00,0.366
2019-01-23 00:00,0.352
2019-01-24 00:00,0.324
2019-01-25 00:00,0.351
2019-01-26 00:00,0.872
2019-01-27 00:00,0.561
2019-01-28 00:00,0.594
2019-01-29 00:00,0.467
2019-01-30 00:00,0.379
2019-01-31 00:00,0.354
2019-02-01 00:00,0.321
2019-02-02 00:00,0.277
2019-02-03 00:00,0.41
2019-02-04 00:00,1.167
2019-02-05 00:00,1.03
2019-02-06 00:00,1.223
2019-02-07 00:00,1.211
2019-02-08 00:00,4.532
2019-02-09 00:00,2.02
2019-02-10 00:00,1.263
2019-02-11 00:00,0.954
2019-02-12 00:00,0.906
2019-02-13 00:00,0.913
2019-02-14 00:00,0.906
2019-02-15 00:00,0.767
2019-02-16 00:00,0.689
2019-02-17 00:00,0.614
2019-02-18 00:00,0.57
2019-02-19 00:00,0.647
2019-02-20 00:00,1.158
2019-02-21 00:00,0.921
2019-02-22 00:00,0.751
2019-02-23 00:00,0.65
2019-02-24 00:00,0.576
2019-02-25 00:00,0.522
2019-02-26 00:00,0.513
2019-02-27 00:00,0.454
2019-02-28 00:00,0.442
2019-03-01 00:00,0.412
2019-03-02 00:00,0.67
2019-03-03 00:00,0.804
2019-03-04 00:00,0.858
2019-03-05 00:00,0.685
2019-03-06 00:00,2.526
2019-03-07 00:00,2.125
2019-03-08 00:00,1.731
2019-03-09 00:00,1.374
2019-03-10 00:00,1.267
2019-03-11 00:00,1.981
2019-03-12 00:00,4.245
2019-03-13 00:00,2.805
2019-03-14 00:00,2.183
2019-03-15 00:00,1.476
2019-03-16 00:00,1.646
2019-03-17 00:00,1.922
2019-03-18 00:00,1.473
2019-03-19 00:00,1.206
2019-03-20 00:00,1.048
2019-03-21 00:00,1.17
2019-03-22 00:00,1.148
2019-03-23 00:00,0.93
2019-03-24 00:00,0.832
2019-03-25 00:00,0.704
2019-03-26 00:00,0.628
2019-03-27 00:00,0.571
2019-03-28 00:00,0.521
2019-03-29 00:00,0.488
2019-03-30 00:00,0.448
2019-03-31 00:00,0.413
2019-04-01 00:00,0.431
2019-04-02 00:00,0.443
2019-04-03 00:00,0.492
2019-04-04 00:00,0.964
2019-04-05 00:00,0.642
2019-04-06 00:00,0.794
2019-04-07 00:00,0.774
2019-04-08 00:00,0.619
2019-04-09 00:00,0.524
2019-04-10 00:00,0.468
2019-04-11 00:00,0.428
2019-04-12 00:00,0.396
2019-04-13 00:00,0.367
2019-04-14 00:00,0.345
2019-04-15 00:00,0.328
2019-04-16 00:00,0.317
2019-04-17 00:00,0.3
2019-04-18 00:00,0.284
2019-04-19 00:00,0.269
2019-04-20 00:00,0.258
2019-04-21 00:00,0.25
2019-04-22 00:00,0.239
2019-04-23 00:00,0.229
2019-04-24 00:00,0.228
2019-04-25 00:00,0.227
2019-04-26 00:00,0.27
2019-04-27 00:00,0.323
2019-04-28 00:00,0.278
2019-04-29 00:00,0.235
2019-04-30 00:00,0.221
2019-05-01 00:00,0.219
2019-05-02 00:00,0.228
2019-05-03 00:00,0.213
2019-05-04 00:00,0.2
2019-05-05 00:00,0.193
2019-05-06 00:00,0.187
2019-05-07 00:00,0.184
2019-05-08 00:00,0.235
2019-05-09 00:00,0.246
2019-05-10 00:00,0.202
2019-05-11 00:00,0.183
2019-05-12 00:00,0.172
2019-05-13 00:00,0.163
2019-05-14 00:00,0.158
