time,flow
2019-07-06 00:00,0.054
2019-07-07 00:00,0.053
2019-07-08 00:00,0.052
2019-07-09 00:00,0.074
2019-07-10 00:00,0.069
2019-07-11 00:00,0.058
2019-07-12 00:00,0.064
2019-07-13 00:00,0.06
2019-07-14 00:00,0.055
2019-07-15 00:00,0.054
2019-07-16 00:00,0.054
2019-07-17 00:00,0.059
2019-07-18 00:00,0.054
2019-07-19 00:00,0.079
2019-07-20 00:00,0.078
2019-07-21 00:00,0.066
2019-07-22 00:00,0.112
2019-07-23 00:00,0.076
2019-07-24 00:00,0.122
2019-07-25 00:00,0.079
2019-07-26 00:00,0.067
2019-07-27 00:00,0.107
2019-07-28 00:00,0.09
2019-07-29 00:00,0.077
2019-07-30 00:00,0.068
2019-07-31 00:00,0.081
2019-08-01 00:00,0.074
2019-08-02 00:00,0.065
2019-08-03 00:00,0.063
2019-08-04 00:00,0.07
2019-08-05 00:00,0.186
2019-08-06 00:00,0.201
2019-08-07 00:00,0.612
2019-08-08 00:00,0.251
2019-08-09 00:00,1.585
2019-08-10 00:00,0.694
2019-08-11 00:00,0.552
2019-08-12 00:00,0.347
2019-08-13 00:00,0.223
2019-08-14 00:00,0.178
2019-08-15 00:00,0.149
2019-08-16 00:00,0.192
2019-08-17 00:00,0.189
2019-08-18 00:00,0.16
2019-08-19 00:00,0.134
2019-08-20 00:00,0.119
2019-08-21 00:00,0.117
2019-08-22 00:00,0.127
2019-08-23 00:00,0.136
2019-08-24 00:00,0.121
2019-08-25 00:00,0.113
2019-08-26 00:00,0.104
2019-08-27 00:00,0.1
2019-08-28 00:00,0.095
2019-08-29 00:00,0.145
2019-08-30 00:00,0.304
2019-08-31 00:00,0.505
2019-09-01 00:00,0.213
2019-09-02 00:00,0.21
2019-09-03 00:00,0.196
2019-09-04 00:00,0.183
2019-09-05 00:00,0.157
2019-09-06 00:00,0.142
2019-09-07 00:00,0.125
2019-09-08 00:00,0.14
2019-09-09 00:00,0.404
2019-09-10 00:00,0.27
2019-09-11 00:00,0.266
2019-09-12 00:00,0.184
2019-09-13 00:00,0.155
2019-09-14 00:00,0.146
2019-09-15 00:00,0.133
2019-09-16 00:00,0.125
2019-09-17 00:00,0.116
2019-09-18 00:00,0.111
2019-09-19 00:00,0.106
2019-09-20 00:00,0.104
2019-09-21 00:00,0.101
2019-09-22 00:00,0.207
2019-09-23 00:00,0.197
2019-09-24 00:00,0.275
2019-09-25 00:00,0.381
2019-09-26 00:00,0.355
2019-09-27 00:00,0.361
2019-09-28 00:00,0.249
2019-09-29 00:00,0.188
2019-09-30 00:00,0.161
2019-10-01 00:00,0.146
2019-10-02 00:00,0.133
2019-10-03 00:00,0.133
2019-10-04 00:00,0.129
2019-10-05 00:00,0.14
2019-10-06 00:00,0.479
2019-10-07 00:00,0.26
2019-10-08 00:00,0.23
2019-10-09 00:00,0.2
2019-10-10 00:00,0.202
2019-10-11 00:00,0.194
2019-10-12 00:00,0.167
2019-10-13 00:00,0.753
2019-10-14 00:00,0.448
2019-10-15 00:00,0.264
2019-10-16 00:00,0.229
2019-10-17 00:00,0.202
2019-10-18 00:00,0.366
2019-10-19 00:00,0.497
2019-10-20 00:00,0.263
2019-10-21 00:00,0.213
2019-10-22 00:00,0.188
2019-10-23 00:00,0.176
2019-10-24 00:00,0.166
2019-10-25 00:00,0.156
2019-10-26 00:00,0.147
2019-10-27 00:00,0.138
2019-10-28 00:00,0.133
2019-10-29 00:00,0.129
2019-10-30 00:00,0.127
2019-10-31 00:00,0.127
2019-11-01 00:00,0.224
2019-11-02 00:00,0.347
2019-11-03 00:00,0.41
2019-11-04 00:00,1.608
2019-11-05 00:00,0.528
2019-11-06 00:00,0.349
2019-11-07 00:00,0.604
2019-11-08 00:00,0.355
2019-11-09 00:00,0.275
2019-11-10 00:00,0.274
2019-11-11 00:00,0.392
2019-11-12 00:00,0.329
2019-11-13 00:00,0.264
2019-11-14 00:00,0.218
2019-11-15 00:00,0.2
2019-11-16 00:00,0.19
2019-11-17 00:00,0.176
2019-11-18 00:00,0.168
2019-11-19 00:00,0.164
2019-11-20 00:00,0.158
2019-11-21 00:00,0.158
2019-11-22 00:00,0.203
2019-11-23 00:00,0.808
2019-11-24 00:00,0.546
2019-11-25 00:00,0.339
2019-11-26 00:00,0.52
2019-11-27 00:00,0.407
2019-11-28 00:00,0.276
2019-11-29 00:00,0.229
2019-11-30 00:00,0.205
2019-12-01 00:00,0.187
2019-12-02 00:00,0.223
2019-12-03 00:00,0.229
2019-12-04 00:00,0.206
2019-12-05 00:00,0.399
2019-12-06 00:00,0.386
2019-12-07 00:00,0.912
2019-12-08 00:00,1.095
2019-12-09 00:00,0.501
2019-12-10 00:00,0.657
2019-12-11 00:00,0.502
2019-12-12 00:00,0.395
2019-12-13 00:00,0.318
2019-12-14 00:00,0.313
2019-12-15 00:00,0.307
2019-12-16 00:00,0.326
2019-12-17 00:00,0.279
2019-12-18 00:00,0.353
2019-12-19 00:00,0.587
2019-12-20 00:00,0.419
2019-12-21 00:00,0.305
2019-12-22 00:00,0.264
2019-12-23 00:00,0.246
2019-12-24 00:00,0.227
2019-12-25 00:00,0.21
2019-12-26 00:00,0.201
2019-12-27 00:00,0.207
2019-12-28 00:00,0.21
2019-12-29 00:00,0.199
2019-12-30 00:00,0.183
2019-12-31 00:00,0.173
