time,flow
2016-07-05 00:00,0.084
2016-07-06 00:00,0.086
2016-07-07 00:00,0.089
2016-07-08 00:00,0.097
2016-07-09 00:00,0.112
2016-07-10 00:00,0.201
2016-07-11 00:00,0.144
2016-07-12 00:00,0.109
2016-07-13 00:00,0.099
2016-07-14 00:00,0.093
2016-07-15 00:00,0.101
2016-07-16 00:00,0.092
2016-07-17 00:00,0.089
2016-07-18 00:00,0.088
2016-07-19 00:00,0.086
2016-07-20 00:00,0.128
2016-07-21 00:00,0.097
2016-07-22 00:00,0.092
2016-07-23 00:00,0.09
2016-07-24 00:00,0.217
2016-07-25 00:00,0.17
2016-07-26 00:00,0.125
2016-07-27 00:00,0.107
2016-07-28 00:00,0.099
2016-07-29 00:00,0.094
2016-07-30 00:00,0.089
2016-07-31 00:00,0.086
2016-08-01 00:00,0.084
2016-08-02 00:00,0.105
2016-08-03 00:00,0.253
2016-08-04 00:00,0.147
2016-08-05 00:00,0.116
2016-08-06 00:00,0.106
2016-08-07 00:00,0.098
2016-08-08 00:00,0.091
2016-08-09 00:00,0.09
2016-08-10 00:00,0.097
2016-08-11 00:00,0.108
2016-08-12 00:00,0.105
2016-08-13 00:00,0.103
2016-08-14 00:00,0.094
2016-08-15 00:00,0.09
2016-08-16 00:00,0.086
2016-08-17 00:00,0.085
2016-08-18 00:00,0.084
2016-08-19 00:00,0.087
2016-08-20 00:00,0.086
2016-08-21 00:00,0.081
2016-08-22 00:00,0.079
2016-08-23 00:00,0.079
2016-08-24 00:00,0.073
2016-08-25 00:00,0.072
2016-08-26 00:00,0.071
2016-08-27 00:00,0.071
2016-08-28 00:00,0.071
2016-08-29 00:00,0.069
2016-08-30 00:00,0.069
2016-08-31 00:00,0.069
2016-09-01 00:00,0.072
2016-09-02 00:00,0.071
2016-09-03 00:00,0.069
2016-09-04 00:00,0.072
2016-09-05 00:00,0.069
2016-09-06 00:00,0.071
2016-09-07 00:00,0.073
2016-09-08 00:00,0.147
2016-09-09 00:00,0.175
2016-09-10 00:00,0.154
2016-09-11 00:00,0.104
2016-09-12 00:00,0.09
2016-09-13 00:00,0.084
2016-09-14 00:00,0.08
2016-09-15 00:00,0.08
2016-09-16 00:00,0.086
2016-09-17 00:00,0.079
2016-09-18 00:00,0.075
2016-09-19 00:00,0.073
2016-09-20 00:00,0.073
2016-09-21 00:00,0.078
2016-09-22 00:00,0.073
2016-09-23 00:00,0.071
2016-09-24 00:00,0.07
2016-09-25 00:00,0.069
2016-09-26 00:00,0.076
2016-09-27 00:00,0.079
2016-09-28 00:00,0.102
2016-09-29 00:00,0.117
2016-09-30 00:00,0.096
2016-10-01 00:00,0.085
2016-10-02 00:00,0.078
2016-10-03 00:00,0.073
