time,flow
2016-01-01 00:00,0.502
2016-01-02 00:00,0.454
2016-01-03 00:00,0.436
2016-01-04 00:00,0.415
2016-01-05 00:00,0.388
2016-01-06 00:00,0.373
2016-01-07 00:00,0.938
2016-01-08 00:00,1.014
2016-01-09 00:00,4.643
2016-01-10 00:00,4.943
2016-01-11 00:00,8.813
2016-01-12 00:00,2.954
2016-01-13 00:00,1.671
2016-01-14 00:00,3.273
2016-01-15 00:00,1.682
2016-01-16 00:00,2.579
2016-01-17 00:00,1.89
2016-01-18 00:00,2.093
2016-01-19 00:00,2.234
2016-01-20 00:00,2.216
2016-01-21 00:00,1.561
2016-01-22 00:00,1.378
2016-01-23 00:00,1.531
2016-01-24 00:00,1.139
2016-01-25 00:00,1.101
2016-01-26 00:00,1.564
2016-01-27 00:00,1.353
2016-01-28 00:00,1.031
2016-01-29 00:00,1.144
2016-01-30 00:00,1.904
2016-01-31 00:00,1.298
2016-02-01 00:00,1.326
2016-02-02 00:00,0.974
2016-02-03 00:00,0.778
2016-02-04 00:00,0.677
2016-02-05 00:00,0.625
2016-02-06 00:00,0.55
2016-02-07 00:00,0.505
2016-02-08 00:00,0.481
2016-02-09 00:00,0.441
2016-02-10 00:00,0.417
2016-02-11 00:00,0.404
2016-02-12 00:00,0.416
2016-02-13 00:00,0.775
2016-02-14 00:00,1.003
2016-02-15 00:00,1.027
2016-02-16 00:00,1.558
2016-02-17 00:00,2.852
2016-02-18 00:00,2.006
2016-02-19 00:00,3.141
2016-02-20 00:00,1.719
2016-02-21 00:00,1.216
2016-02-22 00:00,0.935
2016-02-23 00:00,0.792
2016-02-24 00:00,0.719
2016-02-25 00:00,0.604
2016-02-26 00:00,0.583
2016-02-27 00:00,0.51
2016-02-28 00:00,0.473
2016-02-29 00:00,0.413
2016-03-01 00:00,0.457
2016-03-02 00:00,0.401
2016-03-03 00:00,0.374
2016-03-04 00:00,0.352
2016-03-05 00:00,0.487
2016-03-06 00:00,1.404
2016-03-07 00:00,0.915
2016-03-08 00:00,0.655
2016-03-09 00:00,0.545
2016-03-10 00:00,1.277
2016-03-11 00:00,1.743
2016-03-12 00:00,2.176
2016-03-13 00:00,1.084
2016-03-14 00:00,0.791
2016-03-15 00:00,0.654
2016-03-16 00:00,0.554
2016-03-17 00:00,0.487
2016-03-18 00:00,0.458
2016-03-19 00:00,0.435
2016-03-20 00:00,0.403
2016-03-21 00:00,0.375
2016-03-22 00:00,0.348
2016-03-23 00:00,0.332
2016-03-24 00:00,0.324
2016-03-25 00:00,0.298
2016-03-26 00:00,0.297
2016-03-27 00:00,0.307
2016-03-28 00:00,0.281
2016-03-29 00:00,0.29
2016-03-30 00:00,0.239
2016-03-31 00:00,0.223
2016-04-01 00:00,0.231
2016-04-02 00:00,0.218
2016-04-03 00:00,0.213
2016-04-04 00:00,0.207
2016-04-05 00:00,0.202
2016-04-06 00:00,0.205
2016-04-07 00:00,0.198
2016-04-08 00:00,0.194
2016-04-09 00:00,0.19
2016-04-10 00:00,0.185
2016-04-11 00:00,0.369
2016-04-12 00:00,0.538
2016-04-13 00:00,0.652
2016-04-14 00:00,0.397
2016-04-15 00:00,0.353
2016-04-16 00:00,0.34
2016-04-17 00:00,0.365
2016-04-18 00:00,0.317
2016-04-19 00:00,0.292
2016-04-20 00:00,0.26
2016-04-21 00:00,0.244
2016-04-22 00:00,0.253
2016-04-23 00:00,0.251
2016-04-24 00:00,0.231
2016-04-25 00:00,0.224
2016-04-26 00:00,0.311
2016-04-27 00:00,0.389
2016-04-28 00:00,1.611
2016-04-29 00:00,0.717
2016-04-30 00:00,0.526
2016-05-01 00:00,0.432
2016-05-02 00:00,0.398
2016-05-03 00:00,0.386
2016-05-04 00:00,0.331
2016-05-05 00:00,0.31
2016-05-06 00:00,0.268
2016-05-07 00:00,0.383
2016-05-08 00:00,0.322
2016-05-09 00:00,0.265
2016-05-10 00:00,0.259
2016-05-11 00:00,0.258
2016-05-12 00:00,0.279
2016-05-13 00:00,0.275
2016-05-14 00:00,0.259
2016-05-15 00:00,0.238
2016-05-16 00:00,0.224
2016-05-17 00:00,0.223
2016-05-18 00:00,0.226
2016-05-19 00:00,0.223
2016-05-20 00:00,0.223
2016-05-21 00:00,0.214
2016-05-22 00:00,0.218
2016-05-23 00:00,0.276
2016-05-24 00:00,0.55
2016-05-25 00:00,0.416
2016-05-26 00:00,0.306
2016-05-27 00:00,2.647
2016-05-28 00:00,1.703
2016-05-29 00:00,0.852
2016-05-30 00:00,0.606
2016-05-31 00:00,0.479
2016-06-01 00:00,0.467
2016-06-02 00:00,0.507
2016-06-03 00:00,0.411
2016-06-04 00:00,0.341
2016-06-05 00:00,0.308
