DateTime,wind_factor,lw_factor,Kw,sed_temp_mean,sed_temp_mean.1,RMSE
2026-02-17 13:18:52,1.32119044152704,1.88292427784068,0.571177062410418,6.33168412441732,20,0.288359680151999
2026-02-17 13:18:49,1.32119044152704,1.88292427784068,0.571177062410418,6.33168412441732,20,0.288359680151999
2026-02-17 13:18:46,1.32119044152704,1.88292427784068,0.571177062410418,6.33168412441732,20,0.288359680151999
2026-02-17 13:18:41,0.7,0.7,0.522947486316054,6.57613283806685,20,0.469101801106953
2026-02-17 13:18:36,1.46425764089084,1.42072151736271,0.1,3.59295005802079,15.1265510703137,0.438963344083255
2026-02-17 13:18:32,0.829622979402484,0.7,0.564785160826193,7.86601354000894,20,0.457314702687996
2026-02-17 13:18:28,0.7,1.21802267945225,0.8,3,12.7063761354504,0.343449502126458
2026-02-17 13:18:25,0.7,2,0.796350338460339,7.3791417004291,19.7880245976404,1.21903128133531
2026-02-17 13:18:21,0.799582676007458,0.885507628973322,0.702206401323366,4.8934858459955,10.2833776023797,0.435081072668676
2026-02-17 13:18:15,0.7,1.29573965378614,0.474248003781098,3.91234332287492,11.9498069737305,0.396985940490175
