Date,PHY_cyno
2016-01-01 00:00:00,1.73603E-10
2016-01-02 00:00:00,1.7631E-10
2016-01-03 00:00:00,1.79016E-10
2016-01-04 00:00:00,1.81722E-10
2016-01-05 00:00:00,1.84428E-10
2016-01-06 00:00:00,1.87135E-10
2016-01-07 00:00:00,1.89841E-10
2016-01-08 00:00:00,1.92547E-10
2016-01-09 00:00:00,1.95253E-10
2016-01-10 00:00:00,1.97959E-10
2016-01-11 00:00:00,2.00666E-10
2016-01-12 00:00:00,2.03372E-10
2016-01-13 00:00:00,2.06078E-10
2016-01-14 00:00:00,2.08784E-10
2016-01-15 00:00:00,2.1149E-10
2016-01-16 00:00:00,2.14197E-10
2016-01-17 00:00:00,2.16903E-10
2016-01-18 00:00:00,2.19609E-10
2016-01-19 00:00:00,2.22315E-10
2016-01-20 00:00:00,2.25022E-10
2016-01-21 00:00:00,2.27728E-10
2016-01-22 00:00:00,2.30434E-10
2016-01-23 00:00:00,2.3314E-10
2016-01-24 00:00:00,2.35846E-10
2016-01-25 00:00:00,2.38553E-10
2016-01-26 00:00:00,2.41259E-10
2016-01-27 00:00:00,2.43965E-10
2016-01-28 00:00:00,2.46671E-10
2016-01-29 00:00:00,2.49377E-10
2016-01-30 00:00:00,2.52084E-10
2016-01-31 00:00:00,2.5479E-10
2016-02-01 00:00:00,2.57496E-10
2016-02-02 00:00:00,2.60202E-10
2016-02-03 00:00:00,2.62908E-10
2016-02-04 00:00:00,2.65615E-10
2016-02-05 00:00:00,2.68321E-10
2016-02-06 00:00:00,2.71027E-10
2016-02-07 00:00:00,2.73733E-10
2016-02-08 00:00:00,2.7644E-10
2016-02-09 00:00:00,2.79146E-10
2016-02-10 00:00:00,2.81852E-10
2016-02-11 00:00:00,2.84558E-10
2016-02-12 00:00:00,2.87264E-10
2016-02-13 00:00:00,2.89971E-10
2016-02-14 00:00:00,2.92677E-10
2016-02-15 00:00:00,2.95383E-10
2016-02-16 00:00:00,2.98089E-10
2016-02-17 00:00:00,3.00795E-10
2016-02-18 00:00:00,3.03502E-10
2016-02-19 00:00:00,3.06208E-10
2016-02-20 00:00:00,3.08914E-10
2016-02-21 00:00:00,3.1162E-10
2016-02-22 00:00:00,3.14326E-10
2016-02-23 00:00:00,3.17033E-10
2016-02-24 00:00:00,3.19739E-10
2016-02-25 00:00:00,3.22445E-10
2016-02-26 00:00:00,3.25151E-10
2016-02-27 00:00:00,3.27858E-10
2016-02-28 00:00:00,3.30564E-10
2016-02-29 00:00:00,3.3327E-10
2016-03-01 00:00:00,3.35976E-10
2016-03-02 00:00:00,3.38682E-10
2016-03-03 00:00:00,3.41389E-10
2016-03-04 00:00:00,3.44095E-10
2016-03-05 00:00:00,3.46801E-10
2016-03-06 00:00:00,3.49507E-10
2016-03-07 00:00:00,3.52213E-10
2016-03-08 00:00:00,3.5492E-10
2016-03-09 00:00:00,3.57626E-10
2016-03-10 00:00:00,3.60332E-10
2016-03-11 00:00:00,3.63038E-10
2016-03-12 00:00:00,3.65744E-10
2016-03-13 00:00:00,3.68451E-10
2016-03-14 00:00:00,3.71157E-10
2016-03-15 00:00:00,3.73863E-10
2016-03-16 00:00:00,3.76569E-10
2016-03-17 00:00:00,3.79276E-10
2016-03-18 00:00:00,3.81982E-10
2016-03-19 00:00:00,3.84688E-10
2016-03-20 00:00:00,3.87394E-10
2016-03-21 00:00:00,3.901E-10
2016-03-22 00:00:00,3.92807E-10
2016-03-23 00:00:00,3.95513E-10
2016-03-24 00:00:00,3.98219E-10
2016-03-25 00:00:00,4.00925E-10
2016-03-26 00:00:00,4.03631E-10
2016-03-27 00:00:00,4.06338E-10
2016-03-28 00:00:00,4.09044E-10
2016-03-29 00:00:00,4.1175E-10
2016-03-30 00:00:00,4.14456E-10
2016-03-31 00:00:00,4.17163E-10
2016-04-01 00:00:00,4.19869E-10
2016-04-02 00:00:00,4.22575E-10
2016-04-03 00:00:00,4.25281E-10
2016-04-04 00:00:00,4.27987E-10
