DateTime,Depth,temp
2016-07-31,0,19.40661011
2016-08-01,0,18.25643311
2016-08-02,0,16.04223022
2016-08-03,0,17.26955566
2016-08-04,0,15.51049194
2016-08-05,0,17.30263672
2016-08-06,0,17.48595581
2016-08-07,0,16.07268677
2016-08-08,0,12.76433716
2016-08-09,0,13.67748413
2016-08-10,0,13.88329468
2016-08-11,0,14.49758301
2016-08-12,0,14.76439819
2016-08-13,0,14.67797241
2016-08-14,0,15.89876709
2016-08-15,0,15.26439819
2016-08-16,0,15.6831604
2016-08-17,0,17.43639526
2016-08-18,0,17.62044678
2016-08-19,0,16.78838501
2016-08-20,0,14.63637695
2016-08-21,0,13.41433105
2016-08-22,0,13.49395142
2016-08-23,0,15.27144775
2016-08-24,0,15.20980225
2016-08-25,0,15.0251709
2016-08-26,0,15.19967041
2016-08-27,0,12.52770386
2016-08-28,0,10.29076538
2016-08-29,0,11.54485474
2016-08-30,0,13.5826355
2016-08-31,0,14.7645813
2016-09-01,0,14.38790283
2016-09-02,0,13.09707031
2016-09-03,0,13.61797485
2016-09-04,0,12.77764282
2016-09-05,0,12.93267212
2016-09-06,0,13.58983765
2016-09-07,0,13.44289551
2016-09-08,0,13.40575562
2016-09-09,0,12.34719238
2016-09-10,0,14.0380188
2016-09-11,0,14.61321411
2016-09-12,0,11.65862427
2016-09-13,0,11.77941284
2016-09-14,0,11.26824341
2016-09-15,0,11.72963867
2016-09-16,0,13.26156006
2016-09-17,0,11.7446228
2016-09-18,0,11.46270142
2016-09-19,0,10.71395264
2016-09-20,0,9.372644043
2016-09-21,0,9.907617188
2016-09-22,0,10.03295288
2016-09-23,0,12.65929565
2016-09-24,0,10.5130249
2016-09-25,0,10.58809814
2016-09-26,0,11.87716064
2016-09-27,0,10.32409058
2016-09-28,0,7.310601807
2016-09-29,0,6.160241699
2016-09-30,0,7.538995361
2016-10-01,0,6.968988037
2016-10-02,0,7.936364746
2016-10-03,0,8.827264404
2016-10-04,0,9.109460449
2016-10-05,0,8.548364258
2016-10-06,0,7.790734863
2016-10-07,0,8.682427979
2016-10-08,0,8.913079834
2016-10-09,0,10.42629395
2016-10-10,0,11.33101807
2016-10-11,0,11.01650391
2016-10-12,0,10.61742554
2016-10-13,0,8.80602417
